Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Date S F,Week,Highlights
1,2010-02-05,1643690.9,0,42.31,2.572,211.0963582,8.106,2010-02-05,,
3,2010-02-05,461622.22,0,45.71,2.572,214.4248812,7.368,2010-02-05,,
2,2010-02-05,2136989.46,0,40.19,2.572,210.7526053,8.324,2010-02-05,,
5,2010-02-05,317173.1,0,39.7,2.572,211.6539716,6.566,2010-02-05,,
4,2010-02-05,2135143.87,0,43.76,2.598,126.4420645,8.623,2010-02-05,,
5,2010-02-12,311825.7,1,39.81,2.548,211.8004698,6.566,2010-02-12,2010-02-12,"- Total sales increased by 6009.0 dollars (0.09%). The increase was driven mainly by an expansion of 53164.0 dollars (2.49%) in store 4. However, sales in store 1 decreased by 1733.0 dollars (-0.11%), store 3 decreased by 40893.0 dollars (-8.86%), and store 5 decreased by 5347.0 dollars (-1.69%)."
4,2010-02-12,2188307.39,1,28.84,2.573,126.4962581,8.623,2010-02-12,2010-02-12,"- Total sales increased by 6009.0 dollars (0.09%). The increase was driven mainly by an expansion of 53164.0 dollars (2.49%) in store 4. However, sales in store 1 decreased by 1733.0 dollars (-0.11%), store 3 decreased by 40893.0 dollars (-8.86%), and store 5 decreased by 5347.0 dollars (-1.69%)."
3,2010-02-12,420728.96,1,47.93,2.548,214.5747916,7.368,2010-02-12,2010-02-12,"- Total sales increased by 6009.0 dollars (0.09%). The increase was driven mainly by an expansion of 53164.0 dollars (2.49%) in store 4. However, sales in store 1 decreased by 1733.0 dollars (-0.11%), store 3 decreased by 40893.0 dollars (-8.86%), and store 5 decreased by 5347.0 dollars (-1.69%)."
1,2010-02-12,1641957.44,1,38.51,2.548,211.2421698,8.106,2010-02-12,2010-02-12,"- Total sales increased by 6009.0 dollars (0.09%). The increase was driven mainly by an expansion of 53164.0 dollars (2.49%) in store 4. However, sales in store 1 decreased by 1733.0 dollars (-0.11%), store 3 decreased by 40893.0 dollars (-8.86%), and store 5 decreased by 5347.0 dollars (-1.69%)."
2,2010-02-12,2137809.5,1,38.49,2.548,210.8979935,8.324,2010-02-12,2010-02-12,"- Total sales increased by 6009.0 dollars (0.09%). The increase was driven mainly by an expansion of 53164.0 dollars (2.49%) in store 4. However, sales in store 1 decreased by 1733.0 dollars (-0.11%), store 3 decreased by 40893.0 dollars (-8.86%), and store 5 decreased by 5347.0 dollars (-1.69%)."
1,2010-02-19,1611968.17,0,39.93,2.514,211.2891429,8.106,2010-02-19,2010-02-19,"- Total sales decreased by 189,259.0 dollars, which represents a decrease of 2.82%. The decline was driven mainly by a reduction of 138,447.0 dollars (6.33%) in store 4."
2,2010-02-19,2124451.54,0,39.69,2.514,210.9451605,8.324,2010-02-19,2010-02-19,"- Total sales decreased by 189,259.0 dollars, which represents a decrease of 2.82%. The decline was driven mainly by a reduction of 138,447.0 dollars (6.33%) in store 4."
3,2010-02-19,421642.19,0,47.07,2.514,214.6198868,7.368,2010-02-19,2010-02-19,"- Total sales decreased by 189,259.0 dollars, which represents a decrease of 2.82%. The decline was driven mainly by a reduction of 138,447.0 dollars (6.33%) in store 4."
4,2010-02-19,2049860.26,0,36.45,2.54,126.5262857,8.623,2010-02-19,2010-02-19,"- Total sales decreased by 189,259.0 dollars, which represents a decrease of 2.82%. The decline was driven mainly by a reduction of 138,447.0 dollars (6.33%) in store 4."
5,2010-02-19,303447.57,0,41.14,2.514,211.8471283,6.566,2010-02-19,2010-02-19,"- Total sales decreased by 189,259.0 dollars, which represents a decrease of 2.82%. The decline was driven mainly by a reduction of 138,447.0 dollars (6.33%) in store 4."
5,2010-02-26,270281.63,0,46.7,2.561,211.8771468,6.566,2010-02-26,2010-02-26,"- Total sales decreased by 633,330.0 dollars, which represents a decrease of 9.73%. The decline was driven mainly by a reduction of 124,131.0 dollars (6.06%) in store 4."
2,2010-02-26,1865097.27,0,46.1,2.561,210.9759573,8.324,2010-02-26,2010-02-26,"- Total sales decreased by 633,330.0 dollars, which represents a decrease of 9.73%. The decline was driven mainly by a reduction of 124,131.0 dollars (6.06%) in store 4."
